dia;ativo3;ativo4;ativo11;ativo13;ativo14;ativo15;ativo16;ativo19;ativo20;ativo23;ativo24;ativo25;ativo28;ativo31;tivo33;ativo34;ativo37;ativo41;ativo42;ativo43;ativo50;ativo51;ativo55;ativo57;ativo64;ativo65;ativo66;ativo69;ativo71;ativo74;ativo76;ativo81;ativo82;ativo83;ativo84;ativo85;ativo86;ativo87;ativo89
1381;0.009488291;0.039823129;0.018252363;-0.003947268;0.017105918;0.016733068;0.026086957;0.003977273;0.008615311;0.021471653;0;0.003351572;0.033333333;0.076219503;0.026645768;0.010256403;-0.016;0.073988501;0.077419259;0.146990741;0.020618542;0.027469161;0.003233388;0.01572061;0;0.009615433;0.006940952;0.057142857;0.011914894;0.025217994;0.035569106;-0.009401513;-0.024731183;-0.002506257;0.017864562;0.057315234;-0.000798908;0;0.023454253
1382;-0.009245011;-0.052482357;-0.000381334;0.014861243;-0.009090955;-0.028996865;-0.005423729;-0.032258065;-0.015826932;-0.006140765;-0.023474163;-0.012943722;-0.04516129;0.002124674;0.003053435;-0.017403903;-0.009485095;0.002152906;-0.002566253;-0.036326942;-0.029292787;-0.024632043;-0.026369735;-0.001792116;0;-0.045238143;-0.039881784;-0.052252252;-0.015979815;0.005517241;0.033366045;0.029861134;-0.058434399;-0.050251229;-0.014285714;0.05278174;-0.009861354;0;-0.035937507
1383;-0.000311074;0.040419115;0.002670681;-0.023755264;0.018348716;0.00322841;-0.014996592;0.02982462;0.00051071;0.025903042;-0.010256503;0.004653209;0.049324324;0.008480536;0;0;-0.038303659;0;0;0;-0.004162471;-0.007391428;-0.037014807;0.011914516;0;0.01745641;0.016410256;0.064638783;-0.02991453;-0.022633745;-0.033238367;-0.014160507;0.017564403;0.00396824;-0.02173913;-0.016260163;0.006460215;0;-0.001080286
1384;-0.022090851;-0.02158262;-0.014459659;-0.019999981;-0.004955;0.019308126;-0.020069204;0.01078921;0.002296906;-0.022237665;-0.018458445;-0.022736938;-0.02318094;-0.02382622;-0.068493151;-0.029520273;0.01280224;-0.015574704;-0.015008619;-0.064921466;-0.019853569;-0.025752398;0.047187476;-0.043548438;0;-0.011764706;-0.011099899;0.017857143;0.013215859;-0.01169593;-0.034381139;-0.008207957;0.035673188;0.001317518;0.014814815;-0.002754821;-0.01711685;0;0.017847278
1385;0.00747698;0.086764678;0.023938214;0.023129201;0.046627478;0.070244672;0.035663842;0.019662979;0.000254581;0.015873016;0.007588157;0.021111641;0.064601187;0.037329544;0;0;0;0.031096563;0.028297868;0.047032475;0.038379535;0.030254765;0.034019773;0.049747062;0;0.025297619;0.01734699;0.005263158;0.015217391;0.024852107;0.062054934;0.014942575;-0.013333333;-0.015000026;0.00729927;0.091160221;0.014965959;0;0.011158313
1386;0.015316579;0.036535815;0.032051322;0.013630377;0.030709298;0.049410029;0.015001705;0.007713554;0.008904574;0.030783582;0.033071483;0.013080126;0.061919505;0.014532856;0;0;0.01011236;0.026455026;0.040220108;0.059893048;0.017453766;0.022565697;0.014430022;0.028915665;0;0.001451427;-0.001003059;0.012216405;0.002141328;0.01270209;0.074712644;0.006568448;0.016891892;0.005076204;0;0.078481013;0.010723914;0;0.011560917
1387;-0.011975094;-0.067885098;-0.001096142;0.000655881;-0.011749937;-0.042867182;-0.000671817;-0.024603662;-0.003529929;0.001131222;0.008874811;0.009995824;-0.040816268;0;0;0;-0.021968854;0;0;0;0;0;-0.028449516;-0.032006208;0;0.014492705;0.016566265;-0.00862069;-0.028205128;0.007411642;-0.010695187;-0.018676823;-0.03654485;0.044657097;-0.030641822;-0.084507042;-0.001591565;0;0.01038933
1388;-0.000472266;0.04201674;0.009509872;0.002949879;0.014012739;0.039647577;0.021848739;0.017376682;0.01341513;0;0.025133467;0;0.029179269;0;0;0;0.02758036;0;0;0;0;0;0;0;0;0.054285667;0.045925926;0.019130435;0.011433597;0.009620815;0.010810811;0.026828663;0.012643678;0.00254452;-0.015378086;0.057692308;0.007704596;0;-0.012853388
1389;-0.003464527;-0.01344084;-0.003623187;0.013071896;-0.020519264;-0.028954802;-0.028618388;0.011019284;-0.000319785;0.001581921;-0.015323358;-0.009484542;0.017129297;0.040245575;0.070261438;0.034220506;-0.008301051;-0.014948402;-0.018721978;0.059535822;0.017154358;0.022067723;0.000878439;0.016290276;0;-0.005420009;-0.008498584;-0.008532423;0.003913043;-0.020627791;0.000891266;-0.006252769;0.003405221;-0.010152324;-0.006941432;-0.027878788;0.009754785;0.043956044;0.002604361
1390;-0.011378057;0;0.018181913;0;0.033775162;0.034181818;0.009143176;0.014168992;-0.00043002;0;-0.014939306;0;0.006387979;-0.003278688;0.011450382;0;0.024274518;0;0;0.024761905;0;0.010943466;0;0.038724086;0;-0.000454133;0;0;0;0;0;0.01573036;0;0;0;0;0.007310783;0.015789474;0
